Query,Label
计算第二张表的A列总和,1
计算索引为2的表的A列总和,1
计算SHEET2的A列之和,1
计算当前表的A列总和,1
求第二张表的A列总和,1
计算第二个表的A列总和,0
求索引为2的表的A列总和,1
计算索引2的表的A列总和,1
求SHEET2的A列总和,1
计算SHEET2表的A列总和,1
求当前表的A列总和,1
计算此表的A列总和,1
计算第一张表的A列总和,1
计算索引为1的表的A列总和,1
计算SHEET1的A列总和,1
计算当前表的A列总和,1
计算第一张表的B列总和,1
计算索引为1的表的B列总和,1
计算SHEET1的B列总和,1
计算当前表的B列总和,1
计算第一张表的C列总和,1
计算索引为1的表的C列总和,1
计算SHEET1的C列总和,0
计算当前表的C列总和,1
计算第一张表的D列总和,1
计算索引为1的表的D列总和,0
计算SHEET1的D列总和,1
计算当前表的D列总和,1
计算第一张表的E列总和,0
计算索引为1的表的E列总和,1
计算SHEET1的E列总和,0
计算当前表的E列总和,1
计算第一张表的F列总和,1
计算索引为1的表的F列总和,1
计算SHEET1的F列总和,1
计算当前表的F列总和,1
计算第一张表的G列总和,0
计算索引为1的表的G列总和,1
计算SHEET1的G列总和,0
计算当前表的G列总和,1
计算第一张表的H列总和,1
计算索引为1的表的H列总和,1
计算SHEET1的H列总和,0
计算当前表的H列总和,1
计算第一张表的I列总和,1
计算索引为1的表的I列总和,1
计算SHEET1的I列总和,1
计算当前表的I列总和,1
计算第一张表的J列总和,1
计算索引为1的表的J列总和,0
计算SHEET1的J列总和,0
计算当前表的J列总和,1
计算第一张表的A列总和,1
计算索引为1的表的A列总和,0
计算SHEET2的A列总和,1
计算当前表的A列总和,1
计算第一张表的B列总和,1
计算索引为1的表的B列总和,0
计算SHEET2的B列总和,1
计算当前表的B列总和,0
计算第一张表的C列总和,1
计算索引为1的表的C列总和,1
计算SHEET2的C列总和,1
计算当前表的C列总和,1
计算第一张表的D列总和,1
计算索引为1的表的D列总和,0
计算SHEET2的D列总和,1
计算当前表的D列总和,1
计算第一张表的E列总和,1
计算索引为1的表的E列总和,1
计算SHEET2的E列总和,1
计算当前表的E列总和,1
计算第一张表的F列总和,1
计算索引为1的表的F列总和,1
计算SHEET2的F列总和,0
计算当前表的F列总和,1
计算第一张表的G列总和,1
计算索引为1的表的G列总和,0
计算SHEET2的G列总和,1
计算当前表的G列总和,1
计算第一张表的H列总和,1
计算索引为1的表的H列总和,1
计算SHEET2的H列总和,0
计算当前表的H列总和,1
计算第一张表的I列总和,1
计算索引为1的表的I列总和,0
计算SHEET2的I列总和,0
计算当前表的I列总和,1
计算第一张表的J列总和,1
计算索引为1的表的J列总和,1
计算SHEET2的J列总和,0
计算当前表的J列总和,1
计算第一张表的A列总和,1
计算索引为1的表的A列总和,1
计算SHEET3的A列总和,1
计算当前表的A列总和,1
计算第一张表的B列总和,1
计算索引为1的表的B列总和,1
计算SHEET3的B列总和,1
计算当前表的B列总和,1
计算第一张表的C列总和,1
计算索引为1的表的C列总和,1
计算SHEET3的C列总和,1
计算当前表的C列总和,1
计算第一张表的D列总和,1
计算索引为1的表的D列总和,1
计算SHEET3的D列总和,0
计算当前表的D列总和,1
计算第一张表的E列总和,0
计算索引为1的表的E列总和,1
计算SHEET3的E列总和,1
计算当前表的E列总和,1
计算第一张表的F列总和,1
计算索引为1的表的F列总和,1
计算SHEET3的F列总和,1
计算当前表的F列总和,1
计算第一张表的G列总和,1
计算索引为1的表的G列总和,1
计算SHEET3的G列总和,1
计算当前表的G列总和,1
计算第一张表的H列总和,1
计算索引为1的表的H列总和,1
计算SHEET3的H列总和,0
计算当前表的H列总和,0
计算第一张表的I列总和,1
计算索引为1的表的I列总和,1
计算SHEET3的I列总和,1
计算当前表的I列总和,0
计算第一张表的J列总和,1
计算索引为1的表的J列总和,1
计算SHEET3的J列总和,1
计算当前表的J列总和,1
计算第一张表的A列总和,1
计算索引为1的表的A列总和,0
计算SHEET4的A列总和,0
计算当前表的A列总和,1
计算第一张表的B列总和,1
计算索引为1的表的B列总和,1
计算SHEET4的B列总和,1
计算当前表的B列总和,0
计算第一张表的C列总和,1
计算索引为1的表的C列总和,1
计算SHEET4的C列总和,1
计算当前表的C列总和,1
计算第一张表的D列总和,1
计算索引为1的表的D列总和,1
计算SHEET4的D列总和,1
计算当前表的D列总和,1
计算第一张表的E列总和,1
计算索引为1的表的E列总和,1
计算SHEET4的E列总和,1
计算当前表的E列总和,0
计算第一张表的F列总和,1
计算索引为1的表的F列总和,0
计算SHEET4的F列总和,1
计算当前表的F列总和,1
计算第一张表的G列总和,0
计算索引为1的表的G列总和,1
计算SHEET4的G列总和,1
计算当前表的G列总和,1
计算第一张表的H列总和,1
计算索引为1的表的H列总和,1
计算SHEET4的H列总和,1
